common_name,first_observation,location,region
Chiriqui Quail-Dove,10 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Sulphur-winged Parakeet,10 Jul 2025,"Auto selected 8.87547, -82.68934",PA-CH
White-winged Tanager,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Scaly-breasted Wren,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Barred Becard,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
White-ruffed Manakin,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Smoky-brown Woodpecker,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Red-headed Barbet,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Roadside Hawk,10 Jul 2025,Mount Totumas--Sector Quebrada La Lecheria,PA-CH
Black-cheeked Warbler,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Black-and-yellow Silky-flycatcher,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Tufted Flycatcher,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Scaly-throated Foliage-gleaner,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Silvery-fronted Tapaculo,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Northern Emerald-Toucanet,09 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Ruddy-breasted Seedeater,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Fork-tailed Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
White-throated Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Bran-colored Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
White-throated Thrush,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
White-breasted Wood-Wren,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Yellow-green Vireo,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Rufous-browed Peppershrike,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Piratic Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Streaked Flycatcher,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
White-fronted Tyrannulet,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Slaty Spinetail,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Chiriqui Foliage-gleaner,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Olivaceous Woodcreeper,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Slaty Antwren,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Plain Antvireo,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Collared Forest-Falcon,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Bicolored Hawk,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Black Hawk-Eagle,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Northern Jacana,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
White-tailed Emerald,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Violet-headed Hummingbird,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Stripe-throated Hermit,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Crested Guan,09 Jul 2025,Humedal Lagunas de Volcán,PA-CH
Tropical Parula,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Eastern Meadowlark,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Lesser Elaenia,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Yellow-bellied Elaenia,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
White-winged Becard,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Orange-chinned Parakeet,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Southern Lapwing,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Spotted Wood-Quail,09 Jul 2025,Humedal Lagunas de Volcán--Camino de acceso,PA-CH
Mottled Owl,08 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Long-tailed Silky-flycatcher,08 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Ochraceous Wren,08 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Purple-throated Mountain-gem,08 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Torrent Tyrannulet,07 Jul 2025,"Auto selected 8.87547, -82.68934",PA-CH
Buff-throated Saltator,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Yellow-faced Grassquit,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Bananaquit,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Yellow-bellied Seedeater,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Variable Seedeater,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue-black Grassquit,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Green Honeycreeper,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Red-legged Honeycreeper,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue Dacnis,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Scarlet-thighed Dacnis,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Bay-headed Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Golden-hooded Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Palm Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue-gray Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Scarlet-rumped Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
White-lined Tanager,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Buff-rumped Warbler,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Chestnut-capped Warbler,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Melodious Blackbird,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Bronzed Cowbird,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Crested Oropendola,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Orange-billed Sparrow,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Black-striped Sparrow,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Spot-crowned Euphonia,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Thick-billed Euphonia,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Rufous-breasted Wren,07 Jul 2025,Paraíso Birding Paradise,PA-CH
White-browed Gnatcatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue-and-white Swallow,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Lesser Greenlet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Scrub Greenlet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Gray-capped Flycatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Social Flycatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Great Kiskadee,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Dusky-capped Flycatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Mistletoe Tyrannulet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Yellow Tyrannulet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Yellow-olive Flatbill,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Common Tody-Flycatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Ochre-bellied Flycatcher,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Orange-collared Manakin,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Velvety Manakin,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Pale-breasted Spinetail,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Streak-headed Woodcreeper,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Cocoa Woodcreeper,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Black-hooded Antshrike,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Crimson-fronted Parakeet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Brown-throated Parakeet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
White-crowned Parrot,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Blue-headed Parrot,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Crested Caracara,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Olivaceous Piculet,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Lesson's Motmot,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Short-tailed Hawk,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Gray-cowled Wood-Rail,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Charming Hummingbird,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Scaly-breasted Hummingbird,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Crowned Woodnymph,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Garden Emerald,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Long-billed Starthroat,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Brown Violetear,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Green Hermit,07 Jul 2025,Paraíso Birding Paradise,PA-CH
White-necked Jacobin,07 Jul 2025,Paraíso Birding Paradise,PA-CH
White-collared Swift,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Common Pauraque,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Gray-headed Chachalaca,07 Jul 2025,Paraíso Birding Paradise,PA-CH
Golden-crowned Warbler,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Chestnut-capped Brushfinch,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Golden-browed Chlorophonia,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Clay-colored Thrush,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Mountain Thrush,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Orange-billed Nightingale-Thrush,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Isthmian Wren,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Brown-capped Vireo,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Boat-billed Flycatcher,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Eye-ringed Flatbill,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Olive-streaked Flycatcher,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
White-throated Spadebill,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Three-wattled Bellbird,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Red-faced Spinetail,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Buff-fronted Foliage-gleaner,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Spot-crowned Woodcreeper,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Bat Falcon,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Collared Trogon,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Ornate Hawk-Eagle,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Volcano Hummingbird,06 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Ruddy-capped Nightingale-Thrush,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Black-faced Solitaire,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Gray-breasted Wood-Wren,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Southern House Wren,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Dark Pewee,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Mountain Elaenia,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Resplendent Quetzal,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
White Hawk,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
White-throated Mountain-gem,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
White-tipped Dove,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Streaked Saltator,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Slate-throated Redstart,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Yellowish Flycatcher,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Slaty Flowerpiercer,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Silver-throated Tanager,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Flame-colored Tanager,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
White-naped Brushfinch,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Rufous-collared Sparrow,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Common Chlorospingus,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Golden-bellied Flycatcher,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Swallow-tailed Kite,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Rufous-tailed Hummingbird,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Snowy-bellied Hummingbird,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Stripe-tailed Hummingbird,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Violet Sabrewing,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Scintillant Hummingbird,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Talamanca Hummingbird,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Green-crowned Brilliant,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Lesser Violetear,05 Jul 2025,Mount Totumas Cloud Forest Reserve,PA-CH
Lineated Woodpecker,05 Jul 2025,"Auto selected 8.50002, -82.59917",PA-CH
Yellow-headed Caracara,05 Jul 2025,Aeropuerto Enrique Malek,PA-CH
Tropical Mockingbird,04 Jul 2025,Casco Viejo,PA-PN
Southern Rough-winged Swallow,04 Jul 2025,Casco Viejo,PA-PN
Tropical Kingbird,04 Jul 2025,Casco Viejo,PA-PN
Red-crowned Woodpecker,04 Jul 2025,Casco Viejo,PA-PN
Ringed Kingfisher,04 Jul 2025,Casco Viejo,PA-PN
Tricolored Heron,04 Jul 2025,Casco Viejo,PA-PN
Little Blue Heron,04 Jul 2025,Casco Viejo,PA-PN
Yellow-crowned Night Heron,04 Jul 2025,Casco Viejo,PA-PN
Royal Tern,04 Jul 2025,Casco Viejo,PA-PN
Sandwich Tern,04 Jul 2025,Casco Viejo,PA-PN
Laughing Gull,04 Jul 2025,Casco Viejo,PA-PN
Ruddy Ground Dove,04 Jul 2025,Casco Viejo,PA-PN
Black Vulture,04 Jul 2025,Casco Viejo,PA-PN
Magnificent Frigatebird,04 Jul 2025,Casco Viejo,PA-PN
Red-breasted Meadowlark,04 Jul 2025,Tocumen International Airport,PA-PN
Western Cattle-Egret,04 Jul 2025,Tocumen International Airport,PA-PN
Neotropic Cormorant,04 Jul 2025,Tocumen International Airport,PA-PN
Wood Stork,04 Jul 2025,Tocumen International Airport,PA-PN
Wilson's Phalarope,28 Jun 2025,Spreckles Ave. Pond (State at Spreckles),US-CA
Least Tern,08 Jun 2025,Eden Landing--kayak launch,US-CA
Snowy Plover,08 Jun 2025,Eden Landing--kayak launch,US-CA
Hermit Warbler,01 Jun 2025,Yosemite NP--Tuolumne Grove,US-CA
Black-throated Gray Warbler,01 Jun 2025,Yosemite NP--Tuolumne Grove,US-CA
MacGillivray's Warbler,01 Jun 2025,Yosemite NP--Tuolumne Grove,US-CA
Fox Sparrow,01 Jun 2025,Yosemite NP--Tuolumne Grove,US-CA
Pileated Woodpecker,01 Jun 2025,Yosemite NP--Tuolumne Grove,US-CA
Yellow-headed Blackbird,31 May 2025,Mono Lake--South Tufa area,US-CA
Sage Thrasher,31 May 2025,Mono Lake--South Tufa area,US-CA
Red Crossbill,31 May 2025,Gull Lake Loop Trail,US-CA
Brewer's Sparrow,30 May 2025,Bodie SHP,US-CA
Green-tailed Towhee,30 May 2025,June Lake Campground-north,US-CA
Black-chinned Hummingbird,30 May 2025,June Lake Campground-north,US-CA
Cassin's Finch,29 May 2025,Ellery Lake,US-CA
Mountain Chickadee,29 May 2025,Lukens Lake,US-CA
Townsend's Solitaire,29 May 2025,Yosemite NP--Crane Flat West Meadow,US-CA
Golden-crowned Kinglet,29 May 2025,Yosemite NP--Crane Flat West Meadow,US-CA
Western Tanager,25 May 2025,Ulistac Natural Area,US-CA
California Thrasher,25 May 2025,Ulistac Natural Area,US-CA
Lawrence's Goldfinch,03 May 2025,Ed Levin CP--Sandy Wool-Elm areas,US-CA
Wood Duck,26 Apr 2025,"Chesbro Reservoir County Park, Morgan Hill US-CA 37.12658, -121.72656",US-CA
Blue-winged Teal,21 Apr 2025,Charleston Slough/Coast Casey Forebay,US-CA
Lazuli Bunting,20 Apr 2025,Calero Creek Trail,US-CA
Lark Sparrow,20 Apr 2025,Calero Creek Trail,US-CA
Vaux's Swift,20 Apr 2025,Calero Creek Trail,US-CA
Vermilion Flycatcher,04 Apr 2025,Joseph D. Grant CP--ranch house area,US-CA
Clark's Grebe,03 Apr 2025,Charleston Slough/Coast Casey Forebay,US-CA
Burrowing Owl,26 Mar 2025,Shoreline Park--kite flying area,US-CA
Cackling Goose,26 Mar 2025,Shoreline Park--Shoreline Lake area,US-CA
Purple Finch,15 Mar 2025,Stevens Creek CP--Chestnut Picnic Area,US-CA
Hutton's Vireo,15 Mar 2025,Stevens Creek CP--Chestnut Picnic Area,US-CA
Red-breasted Sapsucker,15 Mar 2025,Stevens Creek CP--Chestnut Picnic Area,US-CA
Black Oystercatcher,16 Feb 2025,Pt. Lobos State Reserve,US-CA
Lesser Scaup,09 Feb 2025,Oracle Pond (pond area only) along Marine Pkwy,US-CA
Tufted Duck,09 Feb 2025,Oracle Pond (pond area only) along Marine Pkwy,US-CA
Ridgway's Rail,09 Feb 2025,"Palo Alto Baylands Nature Preserve, Palo Alto US-CA 37.45895, -122.10522",US-CA
American Barn Owl,12 Jan 2025,Santa Teresa CP--Bernal-Gulnac-Joice Ranch,US-CA
Merlin,05 Jan 2025,Charleston Slough/Coast Casey Forebay,US-CA
Glaucous-winged Gull,05 Jan 2025,Charleston Slough/Coast Casey Forebay,US-CA
Lesser Yellowlegs,05 Jan 2025,Charleston Slough/Coast Casey Forebay,US-CA
Greater Scaup,05 Jan 2025,Charleston Slough/Coast Casey Forebay,US-CA
Great-tailed Grackle,30 Dec 2024,"7807 Fair Oaks Ave, Dallas US-TX 32.88215, -96.74756",US-TX
Lincoln's Sparrow,29 Dec 2024,Trinity River Audubon Center,US-TX
White-throated Sparrow,29 Dec 2024,Trinity River Audubon Center,US-TX
