common_name,first_observation,location,region
Carolina Wren,29 Dec 2024,Trinity River Audubon Center,US-TX
Tufted Titmouse,29 Dec 2024,Trinity River Audubon Center,US-TX
Carolina Chickadee,29 Dec 2024,Trinity River Audubon Center,US-TX
Eastern Phoebe,29 Dec 2024,Trinity River Audubon Center,US-TX
Canvasback,27 Dec 2024,Shoreline Park--Shoreline Lake area,US-CA
Rufous-crowned Sparrow,20 Dec 2024,Pinnacles NP--Balconies Caves Trail,US-CA
Canyon Wren,20 Dec 2024,Pinnacles NP--Balconies Caves Trail,US-CA
Prairie Falcon,20 Dec 2024,Pinnacles NP--Balconies Caves Trail,US-CA
Peregrine Falcon,20 Dec 2024,Pinnacles NP--Balconies Caves Trail,US-CA
Iceland Gull,01 Dec 2024,Los Gatos Creek County Park and Oka Ponds,US-CA
Hooded Merganser,01 Dec 2024,Los Gatos Creek County Park and Oka Ponds,US-CA
Ring-necked Duck,01 Dec 2024,Los Gatos Creek County Park and Oka Ponds,US-CA
Dunlin,16 Nov 2024,"Moss Landing--Jetty Road, north jetty & State Beach",US-CA
Semipalmated Plover,16 Nov 2024,"Moss Landing--Jetty Road, north jetty & State Beach",US-CA
Red-breasted Merganser,16 Nov 2024,"Moss Landing--Jetty Road, north jetty & State Beach",US-CA
Bufflehead,16 Nov 2024,"Moss Landing--Jetty Road, north jetty & State Beach",US-CA
Loggerhead Shrike,16 Nov 2024,"5150 Weeping Willow Way, Paso Robles US-CA 35.66698, -120.60318",US-CA
Hermit Thrush,08 Nov 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07815, -121.66271",US-CA
Ruby-crowned Kinglet,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
White-tailed Kite,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
American White Pelican,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
Common Gallinule,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
Sora,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
Green-winged Teal,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
Northern Pintail,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
American Wigeon,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
Northern Shoveler,02 Nov 2024,Charleston Slough/Coast Casey Forebay,US-CA
Western Meadowlark,21 Oct 2024,Shoreline Park--kite flying area,US-CA
Pelagic Cormorant,13 Oct 2024,Elkhorn Slough--boat survey,US-CA
Eared Grebe,13 Oct 2024,Elkhorn Slough--boat survey,US-CA
Heermann's Gull,13 Oct 2024,Elkhorn Slough--boat survey,US-CA
Parasitic Jaeger,13 Oct 2024,Elkhorn Slough--boat survey,US-CA
Black-bellied Plover,13 Oct 2024,Elkhorn Slough--boat survey,US-CA
Say's Phoebe,28 Sep 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Least Sandpiper,29 Aug 2024,Charleston Slough/Coast Casey Forebay,US-CA
Golden Eagle,27 Aug 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07823, -121.66270",US-CA
Scaly-breasted Munia,23 Aug 2024,Almaden Lake Park,US-CA
Green Heron,23 Aug 2024,Almaden Lake Park,US-CA
Western Sandpiper,15 Aug 2024,Charleston Slough/Coast Casey Forebay,US-CA
Western Wood-Pewee,04 Aug 2024,Pinto Lake County Park,US-CA
Pacific Wren,28 Jul 2024,Sunset SB--Palm Beach Unit,US-CA
Osprey,28 Jul 2024,Sunset SB--Palm Beach Unit,US-CA
Sanderling,28 Jul 2024,Sunset SB--Palm Beach Unit,US-CA
Ruddy Duck,15 Jul 2024,Byxbee Park,US-CA
Marsh Wren,09 Jul 2024,Charleston Slough/Coast Casey Forebay,US-CA
Willet,09 Jul 2024,Charleston Slough/Coast Casey Forebay,US-CA
Long-billed Dowitcher,09 Jul 2024,Charleston Slough/Coast Casey Forebay,US-CA
Short-billed Dowitcher,09 Jul 2024,Charleston Slough/Coast Casey Forebay,US-CA
Northern Cardinal,05 Jul 2024,Chocolay Twp. Marina,US-MI
Pine Warbler,05 Jul 2024,Chocolay Twp. Marina,US-MI
Brown Thrasher,05 Jul 2024,Chocolay Twp. Marina,US-MI
Broad-winged Hawk,04 Jul 2024,"135 Lakewood Ln, Marquette US-MI 46.49873, -87.34884",US-MI
Belted Kingfisher,03 Jul 2024,Chocolay Bayou Nature Preserve,US-MI
Red-breasted Nuthatch,01 Jul 2024,"135 Lakewood Ln, Marquette US-MI 46.49873, -87.34884",US-MI
Downy Woodpecker,01 Jul 2024,"135 Lakewood Ln, Marquette US-MI 46.49873, -87.34884",US-MI
Savannah Sparrow,28 Jun 2024,Lake Linden Recreation Park,US-MI
Vesper Sparrow,28 Jun 2024,Lake Linden Recreation Park,US-MI
Sandhill Crane,28 Jun 2024,Lake Linden Recreation Park,US-MI
Blue Jay,27 Jun 2024,Lake Linden Recreation Park,US-MI
Common Grackle,27 Jun 2024,Rose Island,US-MI
Least Flycatcher,27 Jun 2024,Rose Island,US-MI
Chestnut-sided Warbler,27 Jun 2024,"85050 Trailer Court Rd, Bayfield US-WI 46.80462, -90.83652",US-WI
Ovenbird,26 Jun 2024,"85150 Trailer Court Rd, Bayfield US-WI 46.80538, -90.83495",US-WI
Eastern Bluebird,26 Jun 2024,"85150 Trailer Court Rd, Bayfield US-WI 46.80538, -90.83495",US-WI
Black-and-white Warbler,26 Jun 2024,Frog Bay Tribal National Park,US-WI
Bald Eagle,25 Jun 2024,Voyageurs NP--Rainy Lake Visitor Center,US-MN
American Herring Gull,25 Jun 2024,Voyageurs NP--Rainy Lake Visitor Center,US-MN
Ring-billed Gull,25 Jun 2024,Voyageurs NP--Rainy Lake Visitor Center,US-MN
Veery,25 Jun 2024,"10449 Waltz Rd, Kabetogama US-MN 48.48034, -93.06896",US-MN
Black-throated Green Warbler,24 Jun 2024,"10449 Waltz Rd, Kabetogama US-MN (48.4803,-93.0678)",US-MN
Nashville Warbler,24 Jun 2024,"10449 Waltz Rd, Kabetogama US-MN (48.4803,-93.0678)",US-MN
Trumpeter Swan,24 Jun 2024,"13707–13833 US-10 E, Lake Park US-MN 46.87705, -96.11547",US-MN
Yellow Warbler,24 Jun 2024,Buffalo River SP,US-MN
American Redstart,24 Jun 2024,Buffalo River SP,US-MN
Baltimore Oriole,24 Jun 2024,Buffalo River SP,US-MN
Clay-colored Sparrow,24 Jun 2024,Buffalo River SP,US-MN
Chipping Sparrow,24 Jun 2024,Buffalo River SP,US-MN
Gray Catbird,24 Jun 2024,Buffalo River SP,US-MN
Black-capped Chickadee,24 Jun 2024,Buffalo River SP,US-MN
Red-eyed Vireo,24 Jun 2024,Buffalo River SP,US-MN
Eastern Kingbird,24 Jun 2024,Buffalo River SP,US-MN
Red-bellied Woodpecker,24 Jun 2024,Buffalo River SP,US-MN
Common Yellowthroat,13 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
Elegant Tern,13 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
Black-crowned Night Heron,11 Jun 2024,Palo Alto Baylands,US-CA
Phainopepla,08 Jun 2024,American River Parkway--Sailor Bar,US-CA
Snowy Egret,03 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
Forster's Tern,03 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
Black Tern,03 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
Greater Yellowlegs,03 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
American Avocet,03 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
Gadwall,03 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
Cinnamon Teal,03 Jun 2024,Charleston Slough/Coast Casey Forebay,US-CA
Spotted Towhee,01 Jun 2024,McClellan Ranch Preserve,US-CA
Hairy Woodpecker,01 Jun 2024,McClellan Ranch Preserve,US-CA
Great Horned Owl,31 May 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07832, -121.66281",US-CA
Black-necked Stilt,29 May 2024,Sunnyvale Baylands Park,US-CA
Brown Creeper,28 May 2024,"1101 W Maude Ave, Mountain View US-CA 37.39321, -122.04580",US-CA
Northern House Wren,24 May 2024,"El Chorro Regional Park, San Luis Obispo US-CA 35.33199, -120.73078",US-CA
Western Flycatcher,23 May 2024,"El Chorro Regional Park, San Luis Obispo US-CA 35.33199, -120.73078",US-CA
Blue-gray Gnatcatcher,23 May 2024,San Luis Obispo Botanical Garden,US-CA
Warbling Vireo,23 May 2024,San Luis Obispo Botanical Garden,US-CA
Caspian Tern,23 May 2024,Morro Bay SP--Natural History Museum,US-CA
White-crowned Sparrow,23 May 2024,Morro Bay SP--Marina/Boardwalk Trail,US-CA
Cassin's Kingbird,23 May 2024,Morro Bay SP--Marina/Boardwalk Trail,US-CA
Marbled Godwit,23 May 2024,Morro Bay SP--Marina/Boardwalk Trail,US-CA
Long-billed Curlew,23 May 2024,Morro Bay SP--Marina/Boardwalk Trail,US-CA
Wild Turkey,07 May 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07815, -121.66273",US-CA
Tree Swallow,05 May 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07815, -121.66273",US-CA
Ash-throated Flycatcher,05 May 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07815, -121.66273",US-CA
Northern Flicker,05 May 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07815, -121.66273",US-CA
White-throated Swift,05 May 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07815, -121.66273",US-CA
American Goldfinch,27 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07860, -121.66264",US-CA
Western Kingbird,27 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07860, -121.66264",US-CA
Cooper's Hawk,27 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07860, -121.66264",US-CA
California Quail,24 Apr 2024,"14001–14111 Willow Ave, Morgan Hill US-CA 37.07738, -121.66237",US-CA
Cliff Swallow,21 Apr 2024,"460 Costa Mesa Terr, Sunnyvale US-CA 37.39290, -122.04530",US-CA
White-breasted Nuthatch,20 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Black-headed Grosbeak,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Wilson's Warbler,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Orange-crowned Warbler,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Hooded Oriole,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Song Sparrow,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Golden-crowned Sparrow,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Dark-eyed Junco,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Lesser Goldfinch,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Pine Siskin,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Cedar Waxwing,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Bewick's Wren,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Pygmy Nuthatch,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Wrentit,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Bushtit,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Northern Rough-winged Swallow,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Chestnut-backed Chickadee,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Common Raven,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
American Crow,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Steller's Jay,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Nuttall's Woodpecker,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Acorn Woodpecker,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Red-shouldered Hawk,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Northern Harrier,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Sharp-shinned Hawk,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Brown Pelican,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Great Blue Heron,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Great Egret,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Double-crested Cormorant,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Brandt's Cormorant,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Common Loon,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Red-throated Loon,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Western Grebe,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Pied-billed Grebe,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Black Skimmer,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
California Gull,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Western Gull,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Bonaparte's Gull,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Black Turnstone,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Spotted Sandpiper,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Whimbrel,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
American Coot,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Allen's Hummingbird,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Band-tailed Pigeon,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Rock Pigeon,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Common Merganser,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Common Goldeneye,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Surf Scoter,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Mallard,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
Canada Goose,19 Apr 2024,"1154 E Cliff Dr, Santa Cruz US-CA 36.96462, -122.01145",US-CA
American Robin,16 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Black Phoebe,16 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Yellow-rumped Warbler,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Brewer's Blackbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Brown-headed Cowbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Red-winged Blackbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
California Towhee,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
House Finch,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
House Sparrow,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Western Bluebird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Northern Mockingbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
European Starling,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Barn Swallow,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Violet-green Swallow,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Oak Titmouse,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
California Scrub-Jay,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
American Kestrel,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Red-tailed Hawk,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Anna's Hummingbird,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Eurasian Collared-Dove,14 Apr 2024,"14190 Spring Valley Rd, Morgan Hill US-CA 37.07801, -121.66237",US-CA
Turkey Vulture,19 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
Bullock's Oriole,14 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
Yellow-billed Magpie,14 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
Killdeer,14 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
Mourning Dove,14 Apr 2024,"13915 Spring Valley Road, Morgan Hill, California, US (37.078, -121.663)",US-CA
California Condor,14 Apr 2024,Pinnacles NP--Old Bacon Ranch,US-CA
Indian Peafowl,26 Jun 2025,Ed Levin CP--Spring Valley area,US-CA
Northern Red Bishop,23 Aug 2024,Almaden Lake Park,US-CA
Muscovy Duck,08 Jun 2024,American River Parkway--Sailor Bar,US-CA
